"Time shift in hours";"Training split";"Start learning rate";"Loss factor";"Min learning rate";"Learning patience";"Num epochs";"Steps per epoch";"Early stop patience";"Warmup steps";"Num gated reoccurring units";"Activation function";"ID";"Loss";"Network type";"Batch size"
4;0.9;0.001;0.1;0.0001;0;10;16;0;100;512;"sigmoid";0;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;32;0;100;512;"sigmoid";1;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;64;0;100;512;"sigmoid";2;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;16;1;100;512;"sigmoid";3;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;32;1;100;512;"sigmoid";4;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;64;1;100;512;"sigmoid";5;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;16;4;100;512;"sigmoid";6;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;32;4;100;512;"sigmoid";7;"TBA";"GRU";48
4;0.9;0.001;0.1;0.0001;0;10;64;4;100;512;"sigmoid";8;"TBA";"GRU";48
"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;16;0;100;512;"sigmoid";9;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;32;0;100;512;"sigmoid";10;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;64;0;100;512;"sigmoid";11;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;16;1;100;512;"sigmoid";12;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;32;1;100;512;"sigmoid";13;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;64;1;100;512;"sigmoid";14;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;16;4;100;512;"sigmoid";15;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;32;4;100;512;"sigmoid";16;"TBA";"GRU";48
12;0.9;0.001;0.1;0.0001;0;10;64;4;100;512;"sigmoid";17;"TBA";"GRU";48
"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;16;0;100;512;"sigmoid";18;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;32;0;100;512;"sigmoid";19;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;64;0;100;512;"sigmoid";20;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;16;1;100;512;"sigmoid";21;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;32;1;100;512;"sigmoid";22;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;64;1;100;512;"sigmoid";23;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;16;4;100;512;"sigmoid";24;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;32;4;100;512;"sigmoid";25;"TBA";"GRU";48
24;0.9;0.001;0.1;0.0001;0;10;64;4;100;512;"sigmoid";26;"TBA";"GRU";48
