
"Time shift in hours";"Training split";"Start learning rate";"Loss factor";"Min learning rate";"Learning patience";"Num epochs";"Steps per epoch";"Early stop patience";"Warmup steps";"Num gated reoccurring units";"Activation function";"ID";"Loss";"Network type";"Batch size";"Outputs"
4;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";0;"TBA";"GRU";12;4
4;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";1;"TBA";"LSTM";12;4
12;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";2;"TBA";"GRU";12;4
12;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";3;"TBA";"LSTM";12;4
24;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";4;"TBA";"GRU";12;4
24;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";5;"TBA";"LSTM";12;4
72;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";6;"TBA";"GRU";12;4
72;0.9;0.001;0.1;0.0001;1;10;16;0;10;512;"sigmoid";7;"TBA";"LSTM";12;4


STOP

0;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";0;TBA;"GRU";64;4
0;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";1;TBA;"LSTM";64;4
4;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";2;TBA;"GRU";64;4
4;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";3;TBA;"LSTM";64;4
12;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";4;TBA;"GRU";64;4
12;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";5;TBA;"LSTM";64;4
24;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";6;TBA;"GRU";64;4
24;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";7;TBA;"LSTM";64;4
72;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";8;TBA;"GRU";64;4
72;0.9;0.001;0.1;0.0001;0;10;16;4;0;512;"sigmoid";9;TBA;"LSTM";64;4
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0;0.9;0.001;0.1;0.0001;2;10;16;4;0;512;"sigmoid";10;TBA;"GRU";64;4
0;0.9;0.001;0.1;0.0001;2;10;16;4;0;512;"sigmoid";11;TBA;"LSTM";64;4
4;0.9;0.001;0.1;0.0001;2;10;16;4;0;512;"sigmoid";12;TBA;"GRU";64;4
4;0.9;0.001;0.1;0.0001;2;10;16;4;0;512;"sigmoid";13;TBA;"LSTM";64;4
12;0.9;0.001;0.1;0.0001;2;10;16;4;0;512;"sigmoid";14;TBA;"GRU";64;4
