Datum;Tid (UTC);barkakra temperature;barkakra wind;barkakra wind #2;barkakra pressure;gothenburg temperature;gothenburg wind;gothenburg wind #2;gothenburg pressure;jonkoping temperature;jonkoping wind;jonkoping wind #2;jonkoping pressure;vaderoarna temperature;vaderoarna wind;vaderoarna wind #2;vaderoarna pressure;vinga temperature;vinga wind;vinga wind #2;vinga pressure
2018-10-01;00:00:00;8.1;130;1.0;1009.8;10.5;246;4.4;1007.6;5.5;210;3.0;1008.2;10.8;271;9.7;1005.1;11.0;246;9.5;1007.6
2018-10-01;01:00:00;7.7;0;0.0;1009.5;10.2;249;3.6;1007.2;5.5;220;3.0;1007.7;10.7;270;8.7;1005.0;10.9;257;7.4;1007.1
2018-10-01;02:00:00;6.7;0;0.0;1009.4;10.2;250;2.7;1006.9;5.4;220;3.0;1007.7;10.7;265;8.0;1004.8;11.1;261;6.9;1006.9
2018-10-01;03:00:00;5.0;70;1.0;1009.1;10.0;231;1.5;1006.5;5.2;220;3.0;1007.5;10.5;263;6.7;1004.8;10.6;246;9.0;1006.6
2018-10-01;04:00:00;5.5;110;1.0;1008.8;9.9;214;2.5;1006.4;4.9;230;3.0;1007.1;10.3;259;5.0;1004.6;10.5;248;8.7;1006.3
2018-10-01;05:00:00;5.2;100;1.0;1008.8;9.5;233;3.4;1006.4;5.2;230;3.0;1007.3;10.2;256;4.8;1004.6;10.4;245;7.5;1006.3
2018-10-01;06:00:00;4.8;120;1.0;1008.8;9.7;217;2.2;1006.6;5.6;210;3.0;1007.4;10.3;268;5.3;1004.9;10.5;246;7.6;1006.5
2018-10-01;07:00:00;6.2;120;1.0;1009.1;10.5;229;2.5;1006.6;6.0;200;4.0;1007.5;10.6;255;4.5;1005.2;10.7;241;7.9;1006.4
2018-10-01;08:00:00;9.0;180;3.0;1009.2;10.9;235;2.9;1006.9;7.6;220;4.0;1007.6;10.9;283;3.0;1005.7;10.8;241;7.6;1006.7
2018-10-01;09:00:00;9.0;200;4.0;1009.4;11.0;237;3.0;1007.1;9.6;230;4.0;1007.4;11.7;264;1.5;1006.2;11.4;247;6.4;1007.1
2018-10-01;10:00:00;12.0;240;4.0;1009.0;10.7;202;3.2;1007.0;9.8;250;4.0;1007.4;12.3;242;1.2;1006.4;12.1;239;6.1;1007.0
2018-10-01;11:00:00;10.9;260;3.0;1009.2;11.5;240;3.6;1007.2;10.3;250;5.0;1007.3;10.5;338;3.6;1006.7;11.2;231;6.0;1007.2
2018-10-01;12:00:00;11.3;270;5.0;1009.0;10.2;198;1.8;1007.6;11.0;250;5.0;1007.3;10.7;336;4.3;1007.0;12.7;276;4.3;1007.3
2018-10-01;13:00:00;11.5;270;5.0;1009.0;8.9;87;1.9;1007.9;11.1;240;3.0;1007.2;10.7;339;5.1;1007.0;11.4;326;4.5;1007.5
2018-10-01;14:00:00;11.7;260;5.0;1009.0;9.7;80;1.7;1007.8;8.4;280;2.0;1007.8;11.1;351;4.9;1007.2;12.1;340;2.7;1007.6
2018-10-01;15:00:00;10.5;280;4.0;1009.1;10.7;127;1.2;1007.8;8.9;240;3.0;1007.7;11.5;340;5.9;1007.2;11.3;134;1.2;1007.9
2018-10-01;16:00:00;10.1;240;4.0;1009.3;10.6;85;1.1;1008.2;8.8;0;0.0;1007.8;11.9;345;5.6;1007.5;11.4;308;2.9;1008.1
2018-10-01;17:00:00;9.4;260;1.0;1009.5;9.5;106;0.8;1008.4;5.2;250;1.0;1008.3;12.0;354;4.9;1007.8;10.6;318;3.1;1008.3
2018-10-01;18:00:00;6.4;120;2.0;1009.8;8.1;53;0.7;1008.8;3.4;240;1.0;1008.9;11.9;13;5.3;1008.2;10.7;340;2.3;1008.7
2018-10-01;19:00:00;6.1;80;2.0;1010.0;6.8;0;0.0;1009.1;2.6;250;1.0;1009.1;11.5;8;5.2;1008.4;10.7;303;4.3;1009.0
2018-10-01;20:00:00;5.3;80;1.0;1010.0;6.1;0;0.0;1009.0;3.6;240;3.0;1009.1;11.1;15;4.9;1008.3;10.5;310;3.1;1008.8
2018-10-01;21:00:00;6.5;140;2.0;1009.8;5.1;64;0.7;1009.0;3.8;260;3.0;1009.1;10.5;19;4.1;1008.4;10.7;313;4.3;1008.7
2018-10-01;22:00:00;5.8;60;1.0;1009.9;4.4;37;0.8;1008.7;3.5;250;2.0;1008.8;10.1;60;2.3;1007.6;11.1;319;4.6;1008.3
2018-10-01;23:00:00;4.8;110;1.0;1009.5;3.8;37;0.7;1008.2;2.7;250;1.0;1008.4;10.1;126;1.0;1007.5;11.2;293;5.3;1008.0
2018-10-02;00:00:00;3.1;90;1.0;1009.5;3.3;0;0.0;1008.0;2.1;250;2.0;1008.3;10.7;179;1.7;1006.6;11.2;279;4.6;1007.8
2018-10-02;01:00:00;3.6;0;0.0;1009.3;3.5;31;0.5;1007.2;1.2;220;1.0;1007.8;11.2;213;3.6;1005.4;11.3;257;4.6;1007.0
2018-10-02;02:00:00;5.0;310;1.0;1008.7;3.5;0;0.0;1006.4;0.2;240;2.0;1007.3;11.5;205;5.1;1004.7;10.9;255;7.8;1006.2
2018-10-02;03:00:00;9.6;270;5.0;1008.2;4.1;0;0.0;1006.1;0.8;210;1.0;1006.8;10.5;193;4.8;1003.8;10.5;260;7.0;1005.8
2018-10-02;04:00:00;9.5;270;7.0;1008.1;7.6;243;1.7;1005.4;1.8;240;2.0;1006.2;10.3;240;10.9;1002.3;10.4;244;9.1;1005.3
2018-10-02;05:00:00;9.3;270;6.0;1007.7;9.2;223;2.8;1004.5;2.7;220;3.0;1005.5;10.0;250;11.6;1001.6;10.1;248;11.0;1004.4
2018-10-02;06:00:00;9.2;270;6.0;1007.7;9.0;255;6.3;1004.1;3.9;210;3.0;1004.8;9.7;260;15.1;1000.4;8.9;264;8.8;1004.2
2018-10-02;07:00:00;9.4;240;7.0;1007.1;8.0;257;2.9;1003.6;4.6;210;4.0;1004.2;8.6;254;8.8;1000.7;9.1;242;11.0;1003.4
2018-10-02;08:00:00;8.2;220;7.0;1006.5;8.0;213;2.9;1002.7;5.4;220;5.0;1003.4;8.5;241;8.9;999.4;8.8;220;11.1;1002.2
2018-10-02;09:00:00;8.4;200;5.0;1005.5;8.3;197;3.0;1001.0;5.8;210;6.0;1002.6;8.9;200;10.2;997.6;9.3;205;13.0;999.8
2018-10-02;10:00:00;8.2;200;5.0;1003.9;8.4;169;3.7;998.7;5.8;210;6.0;1002.6;8.8;174;12.3;995.3;9.6;191;15.1;997.1
2018-10-02;11:00:00;8.1;170;5.0;1001.9;8.4;174;4.1;996.4;6.7;200;7.0;999.5;9.4;157;13.6;992.9;10.2;198;19.1;994.5
2018-10-02;12:00:00;8.8;190;8.0;999.8;10.4;214;6.3;994.4;6.3;180;6.0;997.7;11.3;201;12.2;989.2;11.3;239;13.1;994.0
2018-10-02;13:00:00;9.1;210;8.0;998.6;11.7;239;6.6;993.1;6.2;180;5.0;995.6;12.0;284;15.4;985.6;11.9;263;11.3;993.3
2018-10-02;14:00:00;11.4;270;9.0;997.7;11.9;261;7.2;992.4;6.0;180;5.0;993.5;8.7;329;13.7;989.3;11.8;269;13.7;992.9
2018-10-02;15:00:00;9.2;270;8.0;997.7;11.8;257;8.5;992.0;6.6;180;3.0;991.9;8.7;314;10.2;990.6;11.8;273;12.9;992.4
2018-10-02;16:00:00;10.5;270;11.0;997.3;11.5;257;9.1;991.7;7.0;230;5.0;991.2;8.9;329;8.7;990.6;11.6;277;13.8;992.2
2018-10-02;17:00:00;10.4;270;12.0;996.9;11.2;259;7.8;991.7;6.8;240;5.0;990.9;8.2;360;6.2;991.1;11.5;282;13.6;992.2
2018-10-02;18:00:00;10.4;270;12.0;996.8;10.8;261;6.2;991.5;6.7;230;5.0;990.6;8.1;351;7.1;991.6;11.4;292;13.2;991.6
2018-10-02;19:00:00;10.5;270;13.0;995.9;10.8;297;4.1;991.7;6.1;230;4.0;990.6;8.0;348;8.5;992.4;11.4;307;11.1;991.6
2018-10-02;20:00:00;10.2;260;15.0;994.3;8.1;352;2.8;992.6;6.1;250;4.0;990.4;7.4;6;9.1;993.5;10.5;340;11.4;992.3
2018-10-02;21:00:00;7.1;280;13.0;994.4;6.7;347;3.6;993.8;5.4;280;6.0;990.3;7.3;353;9.2;994.4;8.8;358;9.0;993.7
2018-10-02;22:00:00;10.0;290;16.0;994.5;5.9;335;1.8;995.2;4.7;290;7.0;990.7;7.3;351;9.7;995.5;9.1;350;9.4;994.9
2018-10-02;23:00:00;10.4;290;14.0;995.1;5.9;338;2.9;996.4;4.7;300;6.0;991.9;7.4;359;10.4;996.9;7.9;360;10.7;996.2
2018-10-03;00:00:00;8.5;320;11.0;996.6;6.3;318;2.7;997.7;5.0;310;6.0;993.3;7.2;351;9.4;998.1;7.6;9;9.9;997.5
2018-10-03;01:00:00;7.8;320;7.0;997.8;6.4;330;3.0;998.9;5.0;320;7.0;994.9;7.1;358;10.2;999.4;7.6;3;9.7;998.7
2018-10-03;02:00:00;7.3;330;8.0;999.3;5.5;324;2.3;1000.2;5.0;330;6.0;996.5;7.3;352;9.8;1000.5;8.0;358;10.2;1000.0
2018-10-03;03:00:00;6.4;320;7.0;1000.6;5.2;325;3.6;1001.4;5.1;340;6.0;998.1;7.5;360;11.6;1001.7;7.6;360;9.5;1001.3
2018-10-03;04:00:00;6.5;320;6.0;1001.8;4.7;308;3.3;1002.7;5.1;330;4.0;999.4;7.6;353;10.6;1003.1;7.5;359;10.2;1002.6
2018-10-03;05:00:00;6.8;330;7.0;1003.2;5.0;343;2.5;1004.1;5.0;330;5.0;1000.9;7.3;2;10.8;1004.5;6.4;6;10.5;1004.0
2018-10-03;06:00:00;6.5;320;7.0;1004.6;5.2;331;2.7;1005.6;5.0;330;5.0;1002.5;7.6;356;8.6;1006.1;7.2;358;9.2;1005.6
2018-10-03;07:00:00;7.7;330;6.0;1006.3;5.8;330;2.9;1007.3;5.7;340;5.0;1004.1;8.0;3;8.8;1007.4;7.1;359;8.6;1007.3
2018-10-03;08:00:00;8.3;330;9.0;1007.9;6.5;315;3.0;1008.6;6.5;330;4.0;1005.6;8.6;2;7.4;1008.7;8.5;355;8.3;1008.7
2018-10-03;09:00:00;8.6;330;9.0;1009.5;8.0;325;1.9;1009.7;6.3;320;5.0;1007.0;9.4;338;8.1;1009.4;9.2;345;8.7;1009.8
2018-10-03;10:00:00;9.2;330;8.0;1010.6;9.5;302;4.2;1010.6;7.8;330;4.0;1008.0;9.9;313;6.7;1010.2;9.7;340;8.9;1010.6
2018-10-03;11:00:00;10.0;320;10.0;1011.9;10.5;297;4.3;1011.4;7.8;310;5.0;1009.3;10.6;296;6.4;1010.9;10.6;317;9.7;1011.7
2018-10-03;12:00:00;10.6;320;9.0;1012.7;11.9;310;4.1;1012.0;8.0;330;5.0;1010.1;10.8;307;8.0;1011.4;11.3;315;8.7;1012.3
2018-10-03;13:00:00;11.1;310;8.0;1013.6;11.9;303;5.4;1012.6;8.5;290;4.0;1010.9;11.5;303;6.7;1011.7;11.6;306;7.5;1013.0
2018-10-03;14:00:00;11.0;300;9.0;1014.1;12.1;283;5.4;1013.1;8.6;290;6.0;1011.3;12.2;288;4.7;1011.9;11.8;301;9.4;1013.1
2018-10-03;15:00:00;10.6;300;8.0;1014.5;12.0;283;4.0;1013.3;8.8;280;5.0;1011.6;12.7;278;7.4;1011.7;11.5;305;7.7;1013.6
2018-10-03;16:00:00;10.2;290;7.0;1015.0;11.2;277;2.6;1013.8;7.4;280;4.0;1012.4;12.8;290;6.7;1012.1;11.8;293;8.4;1013.9
2018-10-03;17:00:00;10.0;290;7.0;1015.5;10.6;258;2.4;1014.0;5.7;270;2.0;1013.3;12.6;330;6.7;1012.7;11.6;297;7.3;1014.1
2018-10-03;18:00:00;10.1;300;8.0;1015.9;9.4;261;1.5;1014.4;4.6;260;2.0;1013.9;12.5;338;6.5;1013.4;11.9;290;6.6;1014.5
2018-10-03;19:00:00;9.4;300;6.0;1016.3;9.2;243;0.7;1014.7;3.9;280;2.0;1014.4;12.1;341;8.4;1014.0;12.0;295;6.9;1014.9
2018-10-03;20:00:00;10.7;290;9.0;1016.6;7.6;40;0.8;1015.0;2.8;280;2.0;1014.9;11.7;327;8.7;1014.7;12.2;313;8.1;1015.1
2018-10-03;21:00:00;10.2;290;8.0;1016.7;5.8;39;1.1;1015.8;3.5;280;3.0;1015.0;11.1;339;9.4;1015.6;12.0;316;9.0;1015.8
2018-10-03;22:00:00;10.4;290;9.0;1017.4;4.8;29;0.6;1016.2;3.5;270;3.0;1015.7;10.5;348;6.3;1015.8;11.7;322;7.9;1016.0
2018-10-03;23:00:00;10.2;300;7.0;1017.5;3.9;26;0.6;1016.7;3.1;280;3.0;1015.9;10.0;3;6.4;1016.2;11.2;5;4.1;1016.6
2018-10-04;00:00:00;8.9;300;6.0;1018.0;3.4;35;0.8;1017.1;2.4;280;3.0;1016.5;9.5;18;6.1;1016.7;10.6;355;4.0;1017.0
2018-10-04;01:00:00;8.9;290;6.0;1018.3;2.5;0;0.0;1017.7;2.0;290;3.0;1016.9;8.4;28;2.7;1017.3;9.7;32;1.8;1017.5
2018-10-04;02:00:00;7.5;300;4.0;1018.5;2.0;30;0.9;1017.7;-0.4;0;0.0;1017.5;8.5;74;2.1;1017.4;8.8;64;2.4;1017.5
2018-10-04;03:00:00;7.7;320;1.0;1018.9;1.5;0;0.0;1018.3;-1.3;250;1.0;1018.3;8.2;115;3.6;1017.5;8.5;68;1.9;1017.9
2018-10-04;04:00:00;3.0;310;2.0;1019.4;1.3;29;0.7;1018.3;-0.5;240;1.0;1018.5;8.2;129;4.0;1017.7;8.5;129;1.6;1018.0
2018-10-04;05:00:00;3.7;130;1.0;1019.7;1.8;45;0.7;1018.4;-1.9;0;0.0;1019.0;8.7;147;4.7;1017.6;8.9;137;1.8;1018.0
2018-10-04;06:00:00;3.9;310;1.0;1019.9;2.7;40;1.1;1018.4;-2.1;0;0.0;1019.0;8.6;158;5.6;1017.2;9.1;118;3.0;1018.0
